"estacion";"fecha";"tiempo";"precipitacion";"temperatura";"humedad_relativa";"velocidad_viento"
182;31552;81868;0.00;15.11;97.00;0.0
182;31552;81568;0.00;15.06;96.00;0.0
182;31552;81268;0.00;15.06;95.00;0.0
182;31552;80968;0.00;15.11;96.00;0.0
182;31552;80668;0.00;15.06;95.00;0.45
182;31552;80381;0.00;14.94;93.00;0.0
182;31552;80068;0.00;14.89;91.00;0.45
182;31552;79768;0.00;14.89;89.00;0.0
182;31552;79468;0.00;14.89;90.00;0.0
182;31552;79168;0.00;14.94;90.00;0.0
182;31552;78868;0.00;14.94;89.00;0.45
182;31552;78568;0.00;14.94;90.00;0.45
182;31552;78268;0.00;14.89;90.00;0.0
182;31552;77970;0.00;14.94;91.00;0.0
182;31552;77668;0.00;14.89;92.00;0.0
182;31552;77368;0.00;14.72;93.00;0.89
182;31552;77068;0.00;14.56;94.00;0.89
182;31552;76768;0.00;14.56;93.00;0.0
182;31552;76468;0.00;14.61;94.00;0.45
182;31552;76168;0.00;14.78;96.00;0.0
182;31552;75868;0.00;14.94;98.00;0.0
182;31552;75568;0.00;14.94;97.00;0.0
182;31552;75281;0.00;15.06;98.00;0.0
182;31552;74968;0.00;15.17;98.00;0.0
182;31552;74668;0.00;15.22;98.00;0.0
182;31552;74368;0.00;15.33;98.00;0.0
182;31552;74068;0.00;15.33;98.00;0.0
182;31552;73800;0.00;15.33;97.00;0.45
182;31552;73468;0.00;15.28;95.00;0.45
182;31552;73168;0.00;15.39;97.00;0.0
182;31552;72868;0.00;15.39;96.00;0.0
182;31552;72568;0.00;15.39;95.00;0.0
182;31552;72268;0.00;15.44;95.00;0.0
182;31552;71968;0.00;15.56;97.00;0.0
182;31552;71668;0.00;15.56;97.00;0.0
182;31552;71368;0.00;15.50;97.00;0.0
182;31552;71068;0.00;15.33;94.00;0.0
182;31552;70767;0.00;15.11;86.00;0.45
182;31552;70468;0.00;14.94;85.00;0.45
182;31552;70168;0.00;14.89;87.00;0.0
182;31552;69868;0.00;14.94;87.00;0.0
182;31552;69568;0.00;15.00;87.00;0.0
182;31552;69268;0.00;15.06;86.00;0.0
182;31552;68968;0.00;15.17;86.00;0.0
182;31552;68668;0.00;15.22;86.00;0.0
182;31552;68367;0.00;15.22;86.00;0.45
182;31552;68068;0.00;15.22;87.00;0.0
182;31552;67768;0.00;15.33;88.00;0.0
182;31552;67468;0.00;15.56;91.00;0.45
182;31552;67168;0.00;15.72;93.00;0.0
193;31245;35919;0.00;25.60;0.00;0.0
193;31245;35634;0.00;25.75;0.00;0.0
193;31245;35318;0.00;25.86;0.00;0.0
193;31245;35019;0.00;25.49;0.00;0.0
193;31245;34719;0.00;25.23;0.00;0.0
193;31245;34418;0.00;25.34;0.00;0.0
193;31245;34119;0.00;25.23;0.00;0.0
193;31245;33850;0.00;25.18;0.00;0.0
193;31245;33519;0.00;24.61;0.00;0.0
193;31245;33250;0.00;24.56;0.00;0.0
193;31245;32350;0.00;23.83;0.00;0.0
193;31245;31733;0.00;23.83;0.00;0.0
193;31245;31433;0.00;23.72;0.00;0.0
193;31245;31119;0.00;23.52;0.00;0.0
193;31245;30818;0.00;23.31;0.00;0.0
193;31245;30518;0.00;23.31;0.00;0.0
193;31245;30219;0.00;23.00;0.00;0.0
193;31245;29920;0.00;22.68;0.00;0.0
193;31196;68236;39.40;21.85;0.00;0.0
193;31173;37851;0.00;23.10;0.00;0.0
193;31173;29167;;;0.00;0.0
193;31173;28867;;;0.00;0.0
193;31173;28567;;;0.00;0.0
193;31173;28267;;;0.00;0.0
193;31173;27967;;;0.00;0.0
193;31173;27667;;;0.00;0.0
193;31173;27367;;;0.00;0.0
193;31173;27067;;;0.00;0.0
193;31173;26767;;;0.00;0.0
193;31173;26467;;;0.00;0.0
193;31173;26167;;;0.00;0.0
193;31173;25867;;;0.00;0.0
193;31173;25567;;;0.00;0.0
193;31173;25267;;;0.00;0.0
193;31173;24967;;;0.00;0.0
193;31173;24667;;;0.00;0.0
193;31173;24367;;;0.00;0.0
193;31173;24067;;;0.00;0.0
193;31173;23767;;;0.00;0.0
193;31173;23467;;;0.00;0.0
193;31173;23167;;;0.00;0.0
193;31173;22867;;;0.00;0.0
193;31173;22567;;;0.00;0.0
193;31173;22267;;;0.00;0.0
193;31173;21967;;;0.00;0.0
193;31173;21667;;;0.00;0.0
193;31173;21367;;;0.00;0.0
193;31173;21067;;;0.00;0.0
193;31173;20766;;;0.00;0.0
193;31173;20467;;;0.00;0.0
