"contador";"tiempo";"numero1";"numero2";"numero3";"jornada"
2;"00:00:01";0;0;1;Madrugada
3;"00:00:02";0;0;2;Madrugada
4;"00:00:03";0;0;3;Madrugada
5;"00:00:04";0;0;4;Madrugada
6;"00:00:05";0;0;5;Madrugada
7;"00:00:06";0;0;6;Madrugada
8;"00:00:07";0;0;7;Madrugada
9;"00:00:08";0;0;8;Madrugada
10;"00:00:09";0;0;9;Madrugada
11;"00:00:10";0;0;10;Madrugada
12;"00:00:11";0;0;11;Madrugada
13;"00:00:12";0;0;12;Madrugada
14;"00:00:13";0;0;13;Madrugada
15;"00:00:14";0;0;14;Madrugada
16;"00:00:15";0;0;15;Madrugada
17;"00:00:16";0;0;16;Madrugada
18;"00:00:17";0;0;17;Madrugada
19;"00:00:18";0;0;18;Madrugada
20;"00:00:19";0;0;19;Madrugada
21;"00:00:20";0;0;20;Madrugada
22;"00:00:21";0;0;21;Madrugada
23;"00:00:22";0;0;22;Madrugada
24;"00:00:23";0;0;23;Madrugada
25;"00:00:24";0;0;24;Madrugada
26;"00:00:25";0;0;25;Madrugada
27;"00:00:26";0;0;26;Madrugada
28;"00:00:27";0;0;27;Madrugada
29;"00:00:28";0;0;28;Madrugada
30;"00:00:29";0;0;29;Madrugada
31;"00:00:30";0;0;30;Madrugada
32;"00:00:31";0;0;31;Madrugada
33;"00:00:32";0;0;32;Madrugada
34;"00:00:33";0;0;33;Madrugada
35;"00:00:34";0;0;34;Madrugada
36;"00:00:35";0;0;35;Madrugada
37;"00:00:36";0;0;36;Madrugada
38;"00:00:37";0;0;37;Madrugada
39;"00:00:38";0;0;38;Madrugada
40;"00:00:39";0;0;39;Madrugada
41;"00:00:40";0;0;40;Madrugada
42;"00:00:41";0;0;41;Madrugada
43;"00:00:42";0;0;42;Madrugada
44;"00:00:43";0;0;43;Madrugada
45;"00:00:44";0;0;44;Madrugada
46;"00:00:45";0;0;45;Madrugada
47;"00:00:46";0;0;46;Madrugada
48;"00:00:47";0;0;47;Madrugada
49;"00:00:48";0;0;48;Madrugada
50;"00:00:49";0;0;49;Madrugada
51;"00:00:50";0;0;50;Madrugada
52;"00:00:51";0;0;51;Madrugada
53;"00:00:52";0;0;52;Madrugada
54;"00:00:53";0;0;53;Madrugada
55;"00:00:54";0;0;54;Madrugada
56;"00:00:55";0;0;55;Madrugada
57;"00:00:56";0;0;56;Madrugada
58;"00:00:57";0;0;57;Madrugada
59;"00:00:58";0;0;58;Madrugada
60;"00:00:59";0;0;59;Madrugada
61;"00:01:00";0;1;0;Madrugada
62;"00:01:01";0;1;1;Madrugada
63;"00:01:02";0;1;2;Madrugada
64;"00:01:03";0;1;3;Madrugada
65;"00:01:04";0;1;4;Madrugada
66;"00:01:05";0;1;5;Madrugada
67;"00:01:06";0;1;6;Madrugada
68;"00:01:07";0;1;7;Madrugada
69;"00:01:08";0;1;8;Madrugada
70;"00:01:09";0;1;9;Madrugada
71;"00:01:10";0;1;10;Madrugada
72;"00:01:11";0;1;11;Madrugada
73;"00:01:12";0;1;12;Madrugada
74;"00:01:13";0;1;13;Madrugada
75;"00:01:14";0;1;14;Madrugada
